id	document	label
996514	카메라 시꺼먼거 실환가	
47441	헐 21이 벌써 나오는구너	
659671	ㅋㅋ첨보는 디자인이네여	
577211	모지 케이스 네모네모하게 빵꾸난 거 같음	
35118	아니 제발 굴곡화면좀 잃으면안돼??	
442517	오 개이쁨	
745313	오 20보다 렌즈 괜찮네여	
915671	옹...생각보다 괜춘한디여?	
547907	와 노트20보다 이쁘다 ㅠㅠ슬프네	
917281	ㅋㅋㅋㅋ귀여워	
404321	맨날 셀카에서 보이던 홀로그램 뒷면 없으니까 낯서네요ㅋㅋ	
554324	😍	
709017	귀여우이	
960636	이젠 제니 레드 없는건가요?? 완전 찰떡이었는데!	
775631	원래 다 아이폰 썼어섴ㅋㅋㅋㅋㅋㅋ폰2개	
885590	😮	
918948	😮	
74561	😮	
866813	😮	
254965	침착맨 당당한표정 킹받네	
655047	😮	
888047	😮	
854027	😮	
160799	😮	
716747	침착맨 당당한표정 킹받네	
788273	😮	
890898	버즈 라이브 별로에요.. 나의 브론즈 잘가..ㅜ	
593448	👏	
70711	버즈 라이브 케이스는 버즈보다 예뻐서 부럽더라고요😂버즈 플러스 널 사랑하지만 예쁜 케이스가 별로 없어 모양이 애매해	
536396	라이브 잘만 끼우면 안아프고 좋아욤 좀 큰 강낭콩 같기는 하지만.. 콩나물보다는 낫다..	
41364	귀가 덜 아파서 좋아요~~케이스도 더 이쁘고	
767581	😂	
893694	ㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	
675171	버즈 라이브 별로에요.. 나의 브론즈 잘가..ㅜ	
574952	👏	
371427	버즈 라이브 케이스는 버즈보다 예뻐서 부럽더라고요😂버즈 플러스 널 사랑하지만 예쁜 케이스가 별로 없어 모양이 애매해	
571166	라이브 잘만 끼우면 안아프고 좋아욤 좀 큰 강낭콩 같기는 하지만.. 콩나물보다는 낫다..	
762415	귀가 덜 아파서 좋아요~~케이스도 더 이쁘고	
518164	😂	
124330	ㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	
550184	버즈 라이브 별로에요.. 나의 브론즈 잘가..ㅜ	
644383	👏	
13473	버즈 라이브 케이스는 버즈보다 예뻐서 부럽더라고요😂버즈 플러스 널 사랑하지만 예쁜 케이스가 별로 없어 모양이 애매해	
959411	라이브 잘만 끼우면 안아프고 좋아욤 좀 큰 강낭콩 같기는 하지만.. 콩나물보다는 낫다..	
596491	귀가 덜 아파서 좋아요~~케이스도 더 이쁘고	
952413	😂	
437147	ㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	
977769	안쓰러울만도....	
154723	왜 안쓰럽죠	
26128	저는 노트20울트라 화이트 kt요	
345215	😮	
106375	와,,,저도 엘진데 남는거하나 던져주세요....!	
671728	우와...	
549698	왜 안쓰러운거에요? 사진 화질이 안좋아서....?	
530771	안쓰러운 건 아니고 마케팅 일종이죠 어차피 기자인데 본인 사진 찍히는 건 부담스럽고 저런 기삿거리 하나 주면서도 삼성 이미지 챙기는?	
603192	이 일화 유명한 기사인데 안쓰럽다는 말 어디에도 없었어요 커뮤에서 멋대로 붙인 거예용	
308754	제목이 잘못했네요 전혀 저런 뜻 없었어요사석에서 기자가 이재용부회장 알아보고 인텨뷰 요청하면서 녹음할거라고 lg폰 들이밀었는데 그때 갤럭시면 해드렸을텐데 ㅎㅎ...이렇게 장난식으로 말한거라고 알고있어요	
249270	그냥 기자가 이재용부회장님 인터뷰하려고 쫒아온건데 엘지폰인거 보고 농담식으로 갤럭시면 대답해줬을텐데.. 갤럭시가 아니라 노코멘트 이러시다가 내가 하나 보내줘야겠네 하고 바로 선물하신거에요!	
244010	저도 엘지인데 던져주세요...제발...💦	
192265	lg폰인데 진짜진짜 오래된거고.... 바꾸고싶다 나도 삼성 ㅠ	
528175	왜 안쓰러워요??	
797521	커뮤에서 멋대로 붙인거라네요!	
879332	멋있다.. 저는 치킨 뿌링클 아아 아니요.. 노트10+ 화이트 skt요.....	
393232	저는 제트 플립이여!!!!!!	
515521	왜 가지고 다니는건가요?!	
868184	와	
579972	헐 저는 z플립 미러퍼플이요!!	
725804	전 노트20 화이트 KT입니다~~~~~~	
114874	저도 엘지인데...ऀืົཽ≀ ͔ ͕̮ ऀืົཽ✧	
215378	저는 z플립이요!!!!!	
37494	와 머싯다...	
823885	엣지 골드 에스케이......	
711314	와...	
590440	저 노트20 sk요!!! ㅜㅜㅜㅜㅜ	
727012	전 갤럭시 암거나유	
129778	저뚜... 저뚜 엘지 쓰는디... 오래 썼는데... 암거나 주세요...	
975814	와.. 에밬ㅋㅋㅋㅋㅋㅋㅋ	
665533	똑똑하다	
224751	잠시만요 저는요..?ㅜ 저도주세요	
161004	부회장님 전 제트 플립이요!!!!!	
149545	저도 제트플립 하나만 주세요!!!	
574523	저도 주세요ㅠㅠ	
860626	기자님 핸드폰 lg v10인데 저거 나름 좋아요...흑	
588701	와 멋있네요	
790224	와... 마법의 트렁크	
269824	저...저됴..!!!!!	
486864	아이폰 유저지만 엘지쓰는 어무니 폰 바꿔드리고싶어여!! 제트플립 엘지유플이여ㅠ!!	
891960	저는 z폴드2 톰브라운 에디션이요^^	
579929	저는 메로나 하나만 부탁드립니다..	
42132	전 인천공항 3개 지을 자본 부탁드려요...^^	
94778	저는 z플립 톰브라운이여	
453569	저는 노트 20이요!!!!!색은 아무거나!!!!!!!!!!!들리시나요요???????!!!!!!!!	
231205	저도..	
415644	헉 저는 s20 방탄 에디션으로ㅎㅎ	
299904	이야 멋있네요	
810068	크.. 재드래곤	
121923	멋지다ㅋㅋㅋㅋㅋㅋㅋㅋ	
932177	헐... 전 플립요 블랙으로다가	
593741	와..........대박이다 진짜......트렁크를 열면 최신 폰이 삐까번쩍!!!!!!!!	
228310	저는 플립이요 사랑해요	
446310	아닉ㅋㅋㄱ 차 트렁크에 저거 다 갖고다니는 본사 대표 ㅋㅋㅋㄱ왤케 귀엽죠ㅠㅠ	
683606	sk 노트20플러스 화이트 부탁드립니다 선생님	
746685	난 일부러 삼성에서 엘지로 바꿨는데	
902816	노트20 화이트 엘지요!!!!!	
803627	저 톰브라운에디션이요ㅠㅠㅠ	
906404	선생님 저도요 저도!! 저 지플립주세요ㅠㅠ	
796151	헐	
113526	와 저 엘지폰 썼는데 쓰레기였어요 대박ㅋㅋㅋㅋㅋㅋㅋ	
501477	막상 사람들이 다 사주니까 본인들도 시도하는건가ㅋㅋ	
558641	하ㅏ아아.. 이럴거 같았지만 정말 이러네...	
907062	이어폰은 없애도 충전기는 내줘라 맨날 망가지고 잃어버리니께	
529466	이걸 왜 따라해 삼성 ㅜㅜㅜ 그러지마 ㅜㅜㅜ	
954981	샘송......그러지마라...	
817969	좋은거만 따라해요 제발ㅠㅠㅠ	
716233	식당가서 냅킨이나 물티슈 제공 안하는 기분인데요	
203825	애플이랑 삼성 대결구도로 있기때문에 거의 시장 독점이긴 한데.. 어쨌건 두 회사에서 휴대폰을 구매하는 사람이 대부분이잖아요 애플도 구성 빼고 삼성도 구성 빼도 둘 다 같이 빼니 크게 달라질건 없으니까 두 회사 모두 이득을 보겠지만 소비자는 기분 나빠요	
36782	이러지마라 삼성... 나 휴대폰 뭐쓰라고 이제ㅠㅠ	
672963	충전기 버리지마 삼성...	
79256	삼성아 나쁜것좀 따라하지 마라.....	
932172	감성이나 그런거 따라해줘 저런 거 따라하지마,,, 아니 이어폰은 빼도 충전기는 안돼,,;,,,,,,ㅠㅠㅠ	
840243	아 진짜 싫...	
965207	폰바꾸는김에 충전기도 바꾸는데... 안주면...짜증나내요..가격이 많이 떨어지는것도 핸드폰가격이 싼것도 아닌데요... 일체형 배터리되서 1년마다 갈아주는것도 4 5만원씩이고 배터리 또싸고  5G요금제는 비싸고....ㅠ 충전기까지 빼버린다니 너무하네용...	
907095	ㅠㅠㅠㅠㅠㅠㅠㅠ아이폰 충전기 뺀 거 짜증나서 갤럭시 샀는데 갤럭시도ㅠㅠㅠㅠㅠ	
187762	진짜 따라쟁이 이런건 따라하지말지	
53414	왜그래	
825828	삼성은 다른 길을 가지... 애플에 회의적이어서 삼성으로 돌아서려니까 저 모양이네. 차라리 이 기회에 팬층 확 끌어오지	
464628	하......	
589819	아니 조롱을 하지말던가..	
501745	주고 아이폰으로 떠나갈 것같은 사람 잡아야지....	
787728	서로 왜 별로인 걸 그리 따라하시나..	
263516	아니라고 해주세여..	
17034	아니 대체 왜......	
235979	짜증...그렇다고 엘지로 갈 수도 없고...이러면 걍 애플로 갈까	
324113	왜이런거 따라해 삼성..ㅜㅜㅜ	
923486	너네 왜그래 진짜,,,,	
179876	엥? 아니 갤럭시로 갈아타려로 했는데 이게 무슨...?	
748496	아	
468332	최악...	
600606	이런건 따라하지 말지 ㅠㅠ 하...ㅠㅠ 아쉽네여	
783609	충전기 좀 줘요...폰바꿀때면 이미 충전기 작살나있단말여	
715341	아니 대체 왜 따라하는거냐구여,,,	
785706	신청하면 무료로 주면 더 좋은거아닌가	
996209	아니면 지금은 미국에서 주고있는 데 후에는 아예 빠진다는 얘긴가	
73244	빠진만큼 가격만 낮춰서 나온다면 오히려 환영	
792318	ㅋㅋㅋㅋㅋㅋㅋ저런거 따라하지 말라구	
727199	쓸데없는것만 따라하네...	
183548	엥? 너무한거 아니냐구....	
309578	아니 이걸 왜... 다음엔 엘지가야하나...	
602375	왜 자꾸 이상한거 따라하는거죠? 이어폰은 버즈 쓰면 되니깐 충전기라도 줘요ㅠㅠㅠ	
2375	?	
764263	아 니는 또 왜그러는데... 나 갤럭시 갈아타려고 했단말이야... 20사야되나...	
146353	노트 20 기본 구성품에 이어폰 있던데 뭐죠..?	
997856	아.......ㅜㅜ	
520474	삼성 왜그래 진짜... 잘하자	
141704	안돼ㅜㅜㅜ	
351650	별걸 다 따라하네	
778188	그걸 왜 따라해요..... ㅠ	
727699	아니 장점을 버려버리네	
184186	원가절감 따라할거면 조롱이나 하지 말던가 멋없게 ㅜㅜ	
842901	아....정말..	
783298	이럴때일수록 평소처럼 충전기 이어폰만 줘도애플보다 낫다라는 소리 듣고 칭찬 받을텐데 생각이 너무 없네요;	
909044	안돼	
433921	아니 삼성 제발ㅠㅠㅠ	
392821	진짜 너무한닽ㅋㅋㅋㅋㅋㅋ	
231548	아니 왜............. 그냥 충전기 줘요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ	
805387	살 핸드폰이 없네여...	
684568	샘송 왜그래요...	
730087	아니 내년에 핸드폰 바꿀라구 기대하고 있었는데...	
435031	아니 역으로 이걸 이용할 수도 있을 거 같은데 왜 따라하냐구요 샘송...	
369582	그래도 서비스는 삼성이 낫네 했는데...아이폰으로 바꿀 명분 하나 더 제공해줘서 고오맙디ㅏ	
810215	삼성..제발 하지마...	
719032	왜그래..	
81094	일 진짜 못해,,,	
793272	헤엥 이어폰은 주지!!!	
