id	document	label
30896	버즈 산지 얼마안됐는데ㅠㅜ...	1
44807	커스텀 외에는 없어요!	2
38240	뭐야 lte내놔요	2
20202	버즈는 얼마인가요? 에어팟 살라했는데 혹하네..	1
3193	와 태블릿인줄,,,	2
27409	개인적으로 전 알뜨랑 블루가 정말 싫어요	0
26043	의도 투명이란 말 웃기네요 아이돌들 다 얼굴 이쁘고 잘생긴사람들이 하는건데...못생기면 못생겼다고 악플달면서..	2
27524	📥	2
30374	인정 ㅋㅋㅋㅋ너무커요	0
18602	헉ㅋㅋㅋㅋㅋ 저 지금 그래욬ㅋㅋㅋㅋ	2
11921	써 보신 분들 계세요? 자연스럽게 되는지 궁금해요...	2
22318	왜 접냐고 하시는데 지금 가장 필요한 작업이죠 곧 있으면 베젤도 사라지고 최대 크기가 될텐데 사이즈는 계속 커지고 그러니 폴더처럼 접는거죠 갤럭시s가 4인치 노트10+가 6.8인치인가 그래요 얼마나 커졌는지 감이 오시나요 이 이상 커지면 홀로그램이라도 나오기전까진 접는 거 아니면 답이 없어요 그래서 접는거죠 지금 핸드폰들도 휴대폰이라기엔 다 큽니다	1
49186	🤦‍♀️	2
8814	235678	2
27252	아니 인덕션 왜 하는거에요 ㅠㅠㅠㅠㅠㅠㅠ 너무 싫다	0
47115	아이스크림 폰 같다고 생각하며 내려왔는데 다들 똑같네요ㅋㅋㅋㅋㅋㅋㅋㅋ 옛날 폴더폰 갬성,,,,	1
16406	오 예쁘다	1
21864	아주이뻐요😍	1
33051	플러스인데 너무 어지러워요;콘서트가면 꿀이겠다 싶었는데 ㅠㅠㅠㅠㅠㅠ	0
47416	아 디자인은 진짜 예쁘던데 ㅠㅠ	1
34982	음.. 손톱으로 스크래치..음	0
21983	신기하다...	2
49061	우와..................	1
4582	헐	1
10789	어떻게 하셨나요? ㅠ 아무리 봐도 없어서...	2
27480	저도 분홍색 네모? 거의 티안나게 있어요..	2
29167	헐 버즈 미쳤다	1
23000	와 지금 노트8 3년째 쓰고있고 2012년부터 삼성 썼는데 저런적 한번도 없는데...대박	2
34265	77ㅋㅋㅋㅋㅌㅋㅋㅋ	2
18312	zzㅋㅋㅋㅋㅋ꿀팁이네용	2
15160	이쁘다..	1
15328	아 왜...	0
45134	통화좀 어떻게 해봐 제발..	0
12984	우왕 옛날 감성 돌아오는거같아요 옛날에도 폴더촌에 스티커 붙이고 핸드폰 고리 달고 그랬는데	1
38928	헐 대박이다..	1
8022	헉 근디 셀카 저만 아이폰 너무 구리다고 생각했나요...?	1
7476	오오 ㅋㅋ ㅋ 되네용	2
17293	이게 찐이라니ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	2
31575	😂	0
45894	그분들은 가입을 하신게 아니라 기계만 사신분들이에오!!	2
48631	그냥 서로 취향존중 합시당....	2
19392	지금 이글을 s20으로 읽고 있눈데 어차피 버즈써서 상관없어용!! 조아욤	1
