id	document	label
222369	🎉	
439699	🎉	
941543	퍼시픽블루 색상 이번에 예쁘게 잘 뽑았더라고오^^사이드 유광 정말 예뻐서 부러웠습니다.	
753026	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	
787231	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅌㅌㅌㅌㅌㅌㅌㅋㅋㅋㅋㅋㅋ	
762257	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	
887987	𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅𐨛𐌅	
56735	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋ	
329633	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	
625457	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	
942125	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이번에도 닉값 하는시는군요ㅋㅋㅋㅋㅋ👍🏻	
970119	이분 다닐때마다 계셬ㅋㅋㅋㅋㅋㅋㅋ	
939816	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	
14125	오 이제 엘지에서 갤럭시 쓰시는군요	
123139	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	
594575	ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	
390917	와 이쁘다	
419706	얼른 바꾸고싶어요..	
757259	와 옆에 진짜 예쁘다 용달블루 아니네	
578204	삼성아 우리 힘 좀 내줘ㅠㅠㅠㅠ 할 수 있짜나	
271074	혹시 몰라서 덧붙이는건데 12프로랑 12랑 블루가 달라요 12는 용달블루st이고 저건 퍼시픽블루 입니다!	
563065	폰 바꾸고싶은데 약정이...	
300541	저는 프로를 살 마음이 0인데 색 다 프로만 잘빠지고 12는 다 별로라.. 저 색이랑 그래파이트? 너무 이쁜데 프로 ㄴㄴ..	
835572	핸드폰도 핸드폰인데 12부터 적용되는 무선충전기가 좋아보이더라고여	
282288	오.. 확실히 실물이 낫네요	
241859	퍼블이.진짜예쁨.. 골드도 생각보다 이뻤고 근데.그파는 생각보다 흠.....	
683775	퍼블 쓰는중인데 색 영롱하고 넘 이뻐요	
172821	이번에 진짜 잘나온드ㅅ	
20264	삼성 애플 콜라보안되나여 젭알,	
86082	아 진짜 이브다	
761807	벌써 마감 벗겨지는 사진 보고 지금 멈칫함.. 원래 12로 바꿀 생가ㄱ이였는데ㅠ	
349597	그건 중국 스토어래요 사람들이 칼로 긁어보고 난리라 그런거라고 하더라구요!	
426363	아 정말요?! 하긴 일상에서 떨구지 않는 이상 칼로 긁는 정도의 상해는 안입겠네요..!!	
510757	와 예쁘다 옆은 처음봤어요	
390377	와 색깔 진짜 잘뽑았다	
950134	아 바꿀가...	
919691	골드도 너무 예뻐요... 진심 영롱 그 자체고급스럽게 잘 나왔더라구요	
679309	저 이거 쓰는데 생각보다 가벼워서 너무 좋아여	
41937	그래파이트도 jjin	
740557	근데 12는 왜 그랬어 말해봐 사과...용달블루 쌈무그린 무슨일이야..	
559536	오 진짜 옆면 홀로그램? 예쁘다.. 색도 고급지고.. 쌈무 그린, 화이트같은 밝은색도 예쁘던데ㅠㅠ어두운 계열은 고급지고 밝은 계열은 예쁘고.. 진짜 삼섬이 아이폰 색감의 반만 따라갔으면...	
161217	진짜 아이폰 특유의 고급진 마감, 색은 삼성이 절대 못따라가는듯..ㅠ 삼성 디자인좀 어뜨케 해봐..	
796326	오늘 받았는데 그래파이트 진짜 넘흐예쁨,,	
564684	미챴다... 싸이드...	
396694	예쁘단	
248621	사이드 유광 ...케이스 안 씌우면 계속 지문 닦고 있어야 겠더라구요 ㅠ	
346918	친하게 지내욥	
223067	진짜 실물로 봐야되요 ㅠ	
362093	12 프로 사길 진짜 잘했어요 최고	
756466	오잉? 밑에 충전기에여? 들어있어여?	
393413	케이블은 줘요 어댑터가 빠졌어요	
579648	아하 감사합니다~	
988297	흑흑 미니야 날 기다려죠..	
996391	지금 실버 이미 주문한 상태인데 퍼블 예뻐서 너무 다시 고민돼요 ㅠㅠㅠㅠㅠㅠ	
769912	,,,1년만 더 버티고 12로 바꿀 걸ㅠㅠㅠㅠㅠ	
328694	아냐 11유저는 울지 않아...	
52405	프로 진짜 너무 예뻐요.. 매일 감탄중... 사랑해 그파...	
923273	아니 잇섭ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ등장해서 깜짝 놀랬네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	
77928	친하게 지내자는 거 너무 웃기다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	
745779	쌤쏭 색상에 힘을 내줘... 노트 못 잃어...ㅠ	
392643	와 진짜 색감은 애플이...어떻게 저런 색을 뽑을 수 있는거지??ㅠㅠㅠ	
189205	그 이번에 화면 이상하다는게 12인가요 12프로인가요??	
568427	Very Good	
601147	이쁘네욤	
50182	예브다	
773478	너무 받고 싶어요... 내 아이폰 어디쯤 왔니...	
549127	전 그 필터카메라 굴곡 땜시... 앱 쓰면 그런 건가요? 그거 땜에 ;ㅅ; 한국은 카메라 무음 안 돼서 회사에서 필카 후면으로 찍을 때 있거든요 ㅠㅠ	
856155	잇섭님 글 요즘 인포에서 부쩍 보이네요 반갑 ㅎㅎ	
656464	충전기랑 이어폰만 주면 살텐데.... 후.......	
81744	헐 색상 너무 예뻐요 ㅠ	
467803	퍼블 지이이인짜 예뻐요...ㅎㅎㅎㅎ 제폰	
383054	후.. 갤럭시로 갈아타니까 또 이쁜 디자인이 나오네	
386873	잇섭님 영상에서 감격의 목소리가 너무 귀여우셨어ㅋㅋㅋㅋㅋㅋㅋ	
629036	ㅋㅋㅋㅋㅋ말투 너무 음성지원된다	
655379	다 조은데 어댑터 왜 안주냐거 .. 이 애플 넘드라 ......	
502612	충전기 좀 주세요.. 저 아이패드 고속 충전기밖ㅇㅔ 없다구요ㅠ하지만 구매했고....	
483466	와 저게 지금까지 굴러가는게 신기하네	
434396	연아의 햅틱이면 2004-2005년쯤 아닌가요?	
333736	한 2010년 이때쯤 이에요!!	
675402	아 감사합니다!	
344288	2009년즘일거에요	
128624	감사해요!	
924065	와 ㄹㅇ 노인학댘ㅋㅋㅋㅋ노폰학대인데욬ㅋㅋㅋㅋㅋ	
129262	우˗ˋˏ 와 ˎˊ˗ ...	
71595	?!?!?! 10년 가까이 쓰신 건가요...대단	
131037	👏	
431001	👏	
694511	생각보다 멀쩡하네...	
392084	와 저게 지금까지 굴러가는게 신기하네	
879409	연아의 햅틱이면 2004-2005년쯤 아닌가요?	
860595	한 2010년 이때쯤 이에요!!	
730756	아 감사합니다!	
684464	2009년즘일거에요	
542526	감사해요!	
426924	와 ㄹㅇ 노인학댘ㅋㅋㅋㅋ노폰학대인데욬ㅋㅋㅋㅋㅋ	
722051	우˗ˋˏ 와 ˎˊ˗ ...	
911338	?!?!?! 10년 가까이 쓰신 건가요...대단	
581044	👏	
445068	👏	
454663	생각보다 멀쩡하네...	
13048	저도 모르죠	
562531	엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ별개로 se2가 출시되는 당시 환율에 비해 좀 저렴하게 측정된건 사실입니다.	
975753	ㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋ이재용ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	
937137	😮	
161200	🤔	
855896	se좋나요??	
801627	😮	
552844	저도 모르죠	
838907	엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ별개로 se2가 출시되는 당시 환율에 비해 좀 저렴하게 측정된건 사실입니다.	
431712	ㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋㅋㅋㅋㅋ이재용ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	
643490	😮	
636038	🤔	
37764	se좋나요??	
124687	😮	
92227	한국에서 보지 말아요	
113985	그대들의 나락을위해 그랜절...	
432280	😤	
977853	함께해서 더러웠고 다신 보지 말자	
392378	😤	
332601	한국에서 보지 말아요	
387838	그대들의 나락을위해 그랜절...	
471464	😤	
676114	함께해서 더러웠고 다신 보지 말자	
572256	😤	
4439	😤	
384146	하하...	
569179	저런 초기 불량 있으면 애플은 교환 가능한가요??	
883656	언더케이지가 쏘아올린 작은 공,,,https://youtu.be/edk5E9Ri2iw	
793431	저런 경우는 어떻게 보상해주나요??	
665848	갤럭시노트10 오로라? 컬러가 후면이 아닌 전면에 들어갔네요 ㅋㅋㅋㅋㅋㅋㅋ	
324297	😤	
354349	하하...	
39250	저런 초기 불량 있으면 애플은 교환 가능한가요??	
551892	언더케이지가 쏘아올린 작은 공,,,https://youtu.be/edk5E9Ri2iw	
735189	저런 경우는 어떻게 보상해주나요??	
549384	갤럭시노트10 오로라? 컬러가 후면이 아닌 전면에 들어갔네요 ㅋㅋㅋㅋㅋㅋㅋ	
497116	😤	
946742	하하...	
972201	저런 초기 불량 있으면 애플은 교환 가능한가요??	
584923	언더케이지가 쏘아올린 작은 공,,,https://youtu.be/edk5E9Ri2iw	
413203	저런 경우는 어떻게 보상해주나요??	
770210	갤럭시노트10 오로라? 컬러가 후면이 아닌 전면에 들어갔네요 ㅋㅋㅋㅋㅋㅋㅋ	
841976	녹조현상?? 이었나 그거 있나 보네요 불량은	
496304	저만 뭐가 다른지 모르겠나요?	
377799	어두워지면 화면 오른쪽 아랫부분이 분홍빛 띄는거요!	
318667	거기에 녹조 추가요... 녹색빛 액정근데 이건 아몰레드 액정에서 그 뭐시기냐... 그!! 주사율 높이면 나오는 고질병같은 존재라 삼성폰도 말많았죠ㅠㅠ	
